Date;Région;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité
2013-01;Alsace;20095.0;19874.0;221.0;897.0;95.4865653617792
2013-02;Alsace;18263.0;18097.0;166.0;771.0;95.73962535226832
2013-03;Alsace;19138.0;18970.0;168.0;658.0;96.53136531365314
2013-04;Alsace;18846.0;18726.0;120.0;581.0;96.89736195663782
2013-05;Alsace;18659.0;18533.0;126.0;444.0;97.60427345815572
2013-06;Alsace;17810.0;17668.0;142.0;784.0;95.56259904912837
2013-07;Alsace;14462.0;14363.0;99.0;483.0;96.63719278702222
2013-08;Alsace;15416.0;15283.0;133.0;418.0;97.26493489498137
2013-09;Alsace;18800.0;18680.0;120.0;801.0;95.71199143468952
2013-10;Alsace;20430.0;20274.0;156.0;1032.0;94.90973660846404
2013-11;Alsace;18580.0;18468.0;112.0;811.0;95.60862031622266
2013-12;Alsace;17968.0;17780.0;188.0;738.0;95.84926884139485
2014-01;Alsace;19598.0;19405.0;193.0;727.0;96.25354290131408
2014-02;Alsace;17814.0;17957.0;129.0;799.0;95.55048170629838
2014-03;Alsace;19367.0;19212.0;155.0;547.0;97.15282115344576
2014-04;Alsace;18322.0;18188.0;134.0;485.0;97.3334066417418
2014-05;Alsace;18720.0;18566.0;154.0;633.0;96.59054185069482
2014-06;Alsace;16152.0;14943.0;1209.0;652.0;95.63675299471323
2014-07;Alsace;16628.0;16370.0;258.0;549.0;96.64630421502748
2014-08;Alsace;15834.0;15667.0;167.0;393.0;97.49154273313334
2014-09;Alsace;19660.0;19543.0;117.0;500.0;97.44153917003533
2014-10;Alsace;20186.0;19950.0;236.0;905.0;95.46365914786968
2014-11;Alsace;18308.0;18163.0;145.0;625.0;96.55893850134888
2014-12;Alsace;18677.0;18536.0;141.0;689.0;96.28290893396634
2015-01;Alsace;19378.0;19172.0;206.0;653.0;96.59399123722096
2015-02;Alsace;18052.0;17859.0;193.0;637.0;96.43317095022118
2015-03;Alsace;19700.0;19530.0;170.0;704.0;96.39528929851512
2015-04;Alsace;18397.0;18233.0;164.0;521.0;97.14254373937366
2015-05;Alsace;17576.0;17422.0;154.0;432.0;97.520376535415
2015-06;Alsace;19640.0;19391.0;249.0;727.0;96.25083801763704
2015-07;Alsace;17170.0;17012.0;158.0;676.0;96.02633435222197
2015-08;Alsace;16188.0;16081.0;107.0;526.0;96.7290591381133
2015-09;Alsace;19628.0;19475.0;153.0;804.0;95.87163029525033
2015-10;Alsace;19454.0;19261.0;193.0;802.0;95.83614557914956
2015-11;Alsace;18297.0;18130.0;167.0;1056.0;94.1753998896856
2015-12;Alsace;18739.0;18497.0;242.0;740.0;95.99935124614802
2016-01;Alsace;18928.0;18683.0;245.0;995.0;94.67430284215595
2016-02;Alsace;18666.0;18379.0;287.0;904.0;95.08134283693346
2016-03;Alsace;18446.0;18254.0;192.0;757.0;95.85296373397613
2016-04;Alsace;18446.0;18254.0;192.0;757.0;95.85296373397613
2016-05;Alsace;17356.0;17147.0;209.0;647.0;96.22674520324254
2016-06;Alsace;15941.0;15730.0;211.0;895.0;94.31023521932612
